concept,paper_count
harmonic oscillator eigenfunctions,45
kicked quantum rotor,14
sub cellular resolution,10
free relativistic electron,5
markov equation,74
strong light matter coupling,41
mixed state entanglement measure,4
anisotropic antisymmetric interaction,25
anti particle,29
finite spatial dimension,6
deterministic hamiltonian system,9
nonlocal unitary transformation,24
nonlinear quantum oscillator,46
heralded single photon state,9
husimi distribution function,39
particle hole excitation,5
occams razor,27
sub picosecond time resolution,4
laguerre gaussian mode,24
sub exponential time,9
gkp state,41
hidden variables theorem,9
quaternionic quantum theory,33
atomic proposition,74
dirac coulomb problem,4
modal quantum theory,17
superbunching pseudothermal light,13
mach zehnder atom interferometer,2
resonant microwave pulse,27
np optimization problem,17
non linear susceptibility,24
self injection locking,10
algebraically decaying interaction,7
particle quantum walk,41
microwave atomic clock,34
time dependent entropy,18
complex projective plane cp,17
tunnelling matrix element,14
planar cayley graph,17
relativistic transactional interpretation,14
perturbative state,32
rtt relation,16
hyperplane orthogonal,51
classical cryptographic protocol,4
knuth bendix completion,3
hyperbolic dynamic,31
entropic uncertainty lower bound,18
relativistic hartree fock,22
limited memory broyden fletcher goldfarb shanno,5
optical spin wave,19
suzuki trotter decomposition,3
genuine multipartite entangled state,14
pt symmetric quantum theory,8
semiclassical field theory,24
photonic quantum network,46
multipartite qubit system,3
time symmetric formulation,9
ground state energy problem,16
non invasive sensing,12
quantum hall edge channel,29
oebner basis,1
mid infrared detection,8
gapped edge state,10
bosonic generator,5
temporal localized structure,4
computational basis measurement,18
karush kuhn tucker condition,6
local density matrix,30
stroboscopic time evolution,20
operator algebra quantum error correction,16
electron electron repulsion,7
non hermitian random matrix,1
low energy hilbert space,12
non relativistic particle,14
non universal exponent,6
nonlinear gauge transformation,21
non linear estimation,27
free classical communication,17
higher spacetime dimension,7
trapped atom clock,13
semiclassical dynamic,5
non translation invariant,13
long distance entanglement generation,9
high bit rate quantum key distribution,9
perron frobenius theory,14
quantum dot cavity qed,12
semiclassical coherent state propagator,18
high dimensional lattice,17
speckle statistic,7
divergence free flow,9
square octagon lattice,6
dynamical decoupling technique,29
solid state quantum emitter,8
gradient free optimization algorithm,3
cavity electromagnetic field,47
mean field order parameter,8
relativistic dirac particle,14
quark mode,25
bipartite unitary gate,16
quantum memory lifetime,10
superconducting circuit system,18
bunch davies vacuum,12
gibbs equilibrium state,20
large rotation rate,15
high visibility quantum interference,7
phonon phonon interaction,2
ion atom interaction,1
massless relativistic particle,32
einstein podolsky rosen bohm,1
thermal bosonic environment,15
phonon mediated interaction,21
lippman schwinger equation,1
chsh type bell inequality,1
coherent phase state,5
non commutative space time,5
universal quantum simulator,22
valley hall edge state,9
sub atomic particle,4
cavity mediated coupling,6
entangled bit,18
pt symmetric extension,2
bound state energy level,6
noncommutative space time,16
finite dimensional matrix algebra,8
fault tolerant quantum information processing,2
positive frequency mode,5
low energy manifold,11
wigner eckart theorem,5
controlled swap gate,9
electromagnetic energy momentum tensor,13
photon subtracted state,6
non equilibrium fluctuation,1
non degeneracy condition,25
joint quantum measurement,17
state independent proof,2
time dependent wigner function,3
de haas van alphen oscillation,2
scalar field couple,1
shors algorithm,14
feynmans path integral,6
non positive partial transpose,1
strong disorder effect,5
binary boolean operation,11
ring polymer molecular dynamic,1
woods anomaly,6
tree tensor network state,20
relativistic spin orbit interaction,1
hausdorff young inequality,3
tight binding electron,6
pseudo telepathy game,3
polynomially bounded function,10
sensitivity bandwidth product,3
finite dimensional quantum theory,10
time periodic steady state,14
black hole dynamic,4
ultracold trapped atom,4
long wave infrared wavelength,3
inter particle interaction strength,1
quantum refereed game,2
non linear correction,12
quantum fluid dynamic,3
higher multipole moment,1
ultrafast electron dynamic,4
ehrenfest dynamic,2
coulomb like interaction,2
vapnik chervonenkis dimension,8
high order perturbative expansion,2
subsystem stabilizer code,2
pseudo hermitian hamiltonian,3
dirac coulomb equation,4
max flow min cut theorem,7
degradable quantum channel,6
lowest energy eigenstate,13
strong coupling dynamic,6
dense electron hole plasma,1
ground state energy distribution,5
quasi spin,11
exciton plasmon interaction,2
fermionic statistic,2
reversible metal insulator transition,2
magnon dynamic,1
bose hubbard lattice,2
boltzmann like equation,7
atom cavity coupling strength,3
convex operational theory,1
exciton exciton interaction,2
hamiltonian optic,1
magnetic dipole dipole,3
weil sum,13
quantum non markovianity,2
time dependent quantum state,2
huang rhys parameter,1
long range quantum correlation,2
non equilibrium effect,1
cascaded mach zehnder interferometer,2
semi definite programming relaxation,3
relativistic fokker planck equation,2
gaas self assembled quantum dot,1
lewis riesenfeld invariant theory,2
liquid solid phase transition,3
non riemannian geometry,3
dynamical franz keldysh effect,1
non kramers ion,4
quasi resonant excitation,1
non local formulation,1
fine grained uncertainty relation,1
time reversal symmetric system,2
inter atomic interaction,2
coulomb like tensor interaction,1
non equilibrium quantum thermodynamics,1
binary bose einstein condensate,2
jahn teller mode,2
non markovian type,1
classical quantum boundary,1
non resonant mechanism,1
klein gordon type,2
energy momentum diagram,1
fano feshbach resonance,1
boltzmann gibbs statistic,1
spatio temporal observation,1
spatially anisotropic coupling,2
non hermitian interaction,1
self affine surface,4
w type entanglement,1
non equilibrium quantum system,1
qubit qubit coupling,1
space time reflection symmetry,1
singular lagrangian system,16
measurement uncertainty relation,33
non relativistic quantum field theory,6
coupled harmonic oscillator system,18
flat band lattice,25
electro optic effect,26
fault tolerant threshold,14
degradable channel,24
tight binding lattice,51
free space quantum channel,4
davies generator,13
bohr sommerfeld,18
directed bipartite graph,78
commuting operator,137
electrons wave function,16
periodically poled nonlinear crystal,41
quantum statistical correlation,13
operational probabilistic theory,16
photon number parity,32
car parrinello method,4
spectral presheaf,24
lorentz invariant lagrangian,23
cold trapped ion,36
mid ir spectrum,7
global charge neutrality,41
time dependent phase shift,6
objective collapse theory,8
stochastic encoder,56
universes evolution,10
entangled quantum network,17
exciton phonon interaction,12
optical speckle pattern,31
spatial quantum correlation,22
radioactive atom,117
transit time variation,51
semi device independent,4
non commuting observables,7
adapt vqe,4
weak membership problem,13
thomas fermi regime,4
non minimal interaction,3
time dependent electromagnetic field,15
warm rb vapor,23
fault tolerant setting,5
coherent spin rotation,51
spatio temporal domain,9
weak light source,26
infinite range hopping,20
thermal casimir interaction,25
quantum master equation formalism,26
einstein podolski rosen,2
tight bell inequality,15
electro optical effect,8
low photon number regime,7
exciton polariton condensate,38
gluing operation,37
coherent quantum tunneling,49
ch boundary,35
isotropic xy model,68
quantum causal model,11
dual parallel mach zehnder modulator,11
correlation function measurement,53
quantum circuit refrigerator,13
photon noon state,34
sic povm,21
lagrangian quantum field theory,34
separable mixed state,16
classical dispersion relation,53
twisted light beam,30
high quality resonator,18
gauss bonnet theorem,18
semi microscopic,15
laser induced coupling,10
graph like structure,14
anti ferromagnetic coupling,5
spatial non stationarity,8
particle wave equation,27
non bridging oxygen hole center,8
unidirectional edge state,6
space time topology,6
centralizer subgroup,13
entanglement game,17
optical lattice atomic clock,4
irreducible sector,12
high dimensional chaotic system,15
dissipation free,30
floquet time crystal,38
mutually unbiased base,7
non equilibrium distribution function,2
anti stokes scattering,5
non periodic boundary,11
cross kerr interaction,2
bit quantum gate,19
bell chsh,10
decoherence free subsystem,8
high index dielectric nanoparticles,10
black box complexity,11
atiyah singer index theorem,6
quantum decoherence effect,11
quantum classical transition,10
quantum like modeling,5
zh calculus,6
electrodynamic equation,13
covariant symbol,13
long range exchange interaction,14
linear symplectic map,11
chip scale integration,12
linear programming feasibility problem,23
smith purcell effect,5
continuous hahn polynomial,5
nonrelativistic fermion,12
double slit interference pattern,20
spontaneous collapse theory,9
genuine quantum system,13
microfabricated surface electrode ion trap,8
bayesian neural net,23
recurrence time statistic,2
cross phase modulation effect,11
finite dimensional complex hilbert space,15
qubit quantum operation,13
spin weighted spherical harmonic,7
quantized phase shift,14
cauchy riemann equation,7
phase insensitive amplification,9
spin dependent effect,7
macroscopic self trapping,4
measurement disturbance relation,6
non critical string theory,2
intercept resend attack,10
retro reflection,27
laguerre orthogonal polynomial,23
stem like state,6
second order topological phase,2
quantum enhanced measurement,26
yang baxterization,1
higher correlation function,7
non planar molecule,2
non linear excitation,6
tracy widom distribution,10
positive semi definite matrix,2
multitime correlation function,13
linear algebraic lambda calculus,6
aharonov casher effect,2
rayleigh jeans distribution,1
entangled qubit state,5
continuous time master equation,7
measurement induced entanglement transition,2
dagger symmetric monoidal category,7
non gaussian error,4
mid gap state,8
von neumanns theory,1
fano type resonance,10
hong ou mandel effect,3
semi periodic,11
higher order kerr effect,2
thomas fermi equation,6
quantum sampling algorithm,7
local clifford operation,3
non local field,10
wave optics effect,9
super replication,12
bose condensed atom,3
magneto optic trap,6
spin orbit split,21
electromagnetic vacuum fluctuation,6
protected zero mode,7
imaginary time direction,25
mode locked state,5
non equilibrium scenario,1
bit phase flip channel,1
bohrs principle,1
spin chain channel,7
non hermitian system,1
matrix vector operation,2
orthogonally polarized mode,17
mid infrared source,9
beam splitter transformation,5
log depth circuit,3
quantized space time,2
gamblers ruin problem,5
resonance like enhancement,4
non relativistic quantum particle,4
hard wall boundary condition,11
coupled heisenberg chain,3
power law force,4
hilberts tenth problem,2
quantum state merging protocol,8
quasi particle interaction,4
bilinear quantum system,6
structure dynamics relation,1
angular momentum coherent state,6
lennard jones particle,1
coupled non linear equation,1
energy momentum conservation law,4
diffraction free beam,8
wen plaquette model,3
field commutation relation,7
soft x ray photon,1
fluctuation induced interaction,3
strong quadrupole light molecule interaction,2
non unit quantum efficiency,6
photon limited imaging,4
self complementary graph,2
semi analytic formula,3
preconditioned crank nicolson,3
spacelike separated region,2
holonomy loop,1
non perturbative theory,3
fermion boson system,1
n dimensional representation,3
laser cooled atomic ensemble,3
einsteins equivalence principle,2
thermal statistic,3
high intensity x ray,2
sub poissonian distribution,1
semi infinite array,1
solid state qubit system,1
sub wavelength dimension,1
faber krahn inequality,2
time reversed state,4
dual species atom interferometer,5
boltzmann shannon entropy,1
time independent hamiltonian system,2
electron photon coupling,2
n dimensional affine space,1
quantum stochastic dynamic,1
soft x ray free electron laser,1
askey wilson polynomial,2
non gaussian correlation,1
nested mach zehnder interferometer,1
conditional min entropy,1
harrow hassidim lloyd algorithm,2
sub diffraction imaging,3
gauge invariant boundary condition,1
chaotic quantum dynamic,1
non local description,1
quantum efficiency,57300
escherichia coli,592791
nuclear magnetic resonance,182713
linear interpolation,14108
ambient light,10337
operational amplifier,9247
molecular absorption,4296
laser resonator,2199
optical phonon,7731
harmonic generation,62039
redox couple,7935
sympathetic cooling,987
field measurement,22349
fluorescent protein,65450
laser radiation,34208
wireless communication,121290
microwave signal,5254
inorganic crystal,26357
transport equation,23722
space symmetry,607
fluorescence spectroscopy,41474
planck mass,2929
hydrogen production,76278
free base,4920
dc mode,764
wave propagation,108032
density evolution,4884
electron diffraction,53609
fission reactor,1225
living matter,3873
surface tension,83239
ion charge,183541
particle swarm optimization,115212
induced transparency,11397
optical spectroscopy,26228
parity breaking,897
moderating effect,58825
enhanced raman scattering,25055
casimir energy,2379
fourier decomposition,215176
hybrid detection,1211
mass measurement,6638
stationary equilibrium,1010
quantum field theory,39096
response theory,28734
particle velocity,14040
adverse effect,83661
quasiparticle tunneling,634
microelectromechanical system,4132
lattice model,14365
nonlinear frequency,5281
springer verlag,3511
high temperature plasma,67107
integral representation,11004
mass density,19859
high electron mobility,15162
electromagnetic power,1454
power density,104724
generic rank,1269
duality theory,4089
fourier transform infrared spectroscopy,94511
phase detection,5076
quantum phase transition,10351
sound wave,9132
federated learning,50508
quantum boltzmann,804
gas sensor,26921
seesaw mechanism,3923
nmr spectroscopy,122655
susceptibility measurement,1393
structural phase transition,9966
memory function,13155
collective action,52627
energy level diagram,790
lipschitz continuous,5298
qr code,17698
natural language processing,143148
swarm optimization,121531
matrix inequality,16649
grating structure,3559
optical imaging,34489
spatial sampling,6910
stiefel manifold,1141
scalar field,53456
fractional calculus,14343
particle image velocimetry,30032
waveguide geometry,1242
solid state lighting,2141
cylindrical cavity,4701
viscous flow,18008
thermodynamic consistency,2623
field electron emission,1722
global navigation satellite system,28601
symmetric encryption,3987
skin tissue,11299
schrodinger equation,46271
relativistic hydrodynamics,2187
pagerank algorithm,2328
quantum gravity theory,957
mode converter,3036
infrared thermography,16344
transport network,15988
linear sigma model,2899
diagonal matrix,5745
pore geometry,3825
beta function,3716
pt surface,3089
hierarchical clustering,47922
distributed learning,8031
atomic decay,381
thermodynamical limit,498
magnetic vortex,1968
light modulation,3312
polar orbit,2541
nuclear reaction,11116
coherent synchrotron radiation,1487
wave scattering,14242
beam shaping,6776
epr spectroscopy,10305
bayesian statistic,107
hetero structure,432
plasmon resonance,66611
energy sector,54823
catalytic reaction,16250
light field imaging,759
high temporal resolution,17506
energy production,106496
electromagnetic scattering,12276
reflective material,792
spatial geometry,2700
optical rotation,7370
magnesium oxide,14031
space debris,10041
network geometry,1931
band diagram,2806
fold reduction,13591
causal gene,2348
lorentz force equation,306
channel coding,13709
flux pinning,4255
compound semiconductor,5818
geometric interpretation,8063
particle swarm optimization algorithm,21951
net gain,5519
circular polarization,22684
beam steering,13656
feedback control design,1709
polymeric matrix,9043
aromatic hydrocarbon,19249
laser filamentation,665
fluorescence emission,23542
electron mobility,30610
scaffold protein,6891
stimulated emission depletion,2403
point problem,4998
water channel,9400
momentum dependent,3751
scanning tunneling,50781
scattered light,19203
thermal field,9862
atomic resolution,13263
sheaf theory,684
base pair,27513
vortex state,2998
power series,24776
thermal infrared,20115
osmotic flow,1916
nonexponential relaxation,264
valence electron,6146
lagrange dual,860
hilbert space theory,262
reaction kinetics,47052
quorum sensing,23080
electron interaction,9015
trigonal symmetry,1095
magnetic proximity,1237
computational neuroscience,4756
wave phase,8159
molecular response,9485
pearson coefficient,4002
pulsed mode,3420
spatial light modulator,11316
stochastic evolution,2859
circuit connectivity,619
pulmonary fibrosis,52523
laplacian operator,4581
stochastic ensemble,282
forest model,20391
red shift,16064
bayesian network,32472
hyperspectral image,18797
isotope shift,2614
differentiated state,2173
evanescent wave,5082
spontaneous parametric downconversion,703
nonlinear coupling,6250
time resolved photoluminescence,761
collisional relaxation,1102
electronic band,17603
radial variation,2481
multivariate model,14646
molecular recognition,23294
auto correlation,1449
heat source,45625
cosmic expansion,6603
spectral purity,3100
binary decision tree,681
pure state,6535
ring map,97
sparsity pattern,1471
resonance absorption,5312
thermal neutron,12380
phase retrieval,10490
biological material,14746
network state,5605
gradient magnitude,2053
superconducting state,13949
modulation transfer function,8814
euclidean distance metric,624
relational analysis,12453
quantum confined stark effect,1140
geometric evolution,918
state wave function,2726
helmholtz resonator,2120
decision diagram,2633
fused silica,18209
electric field vector,1228
noncommutative geometry,4180
sensitive detector,5054
macroscopic electric field,276
asymmetric cryptography,1355
quantum hall regime,2562
toric variety,1808
cold atom,4021
chemical etching,15985
plasma etching,10246
white light emitting diode,672
electromagnetic waveguide,197
phase field,13501
ph sensitivity,3738
cluster theory,5484
coding matrix,637
adjoint operator,4156
fluorescence quenching,23131
permittivity distribution,687
bayesian information criterion,7732
phase gradient,4032
variational method,13685
quantum ratchet,187
dynamical mean field theory,2173
mining algorithm,10272
spontaneous symmetry breaking,8295
vector algebra,1179
convolution operation,3008
wronskian determinant,128
fibre bundle,1883
strain field,10549
thermal interaction,1924
machine learning identification,226
geometric complexity,2975
near edge x ray absorption fine structure,35
lagrangian analysis,1795
polymer structure,7492
electron pulse,1304
orthogonal polarization,4997
phenylene vinylene,3585
hydrogen gas,23681
light extraction,4983
isotropic dielectric,808
transcorrelated method,93
self interference,430
burgers equation,6363
mimo transmission,1941
spin detection,565
femtosecond laser micromachining,874
field ionization,5049
raman resonance,442
log likelihood function,354
radioactive decay,9376
battery capacity,11046
electron model,3663
harmonic vibration,1602
genome assembly,29172
tonic spiking,271
antiferromagnetic state,3134
rs model,1124
dense phase,2575
free boundary,15436
turing machine,4961
combinatorial optimization problem,7835
electronic state,17581
state estimation problem,2456
water suspension,2262
lorenz model,997
power splitting ratio,535
sapphire oscillator,782
anechoic chamber,9324
electromagnetic wave scattering,1534
anharmonic decay,230
quantum decoherence,3360
percolation problem,904
resonant frequency shift,912
product structure,7064
homogenization method,4390
algebraic group,5012
semidefinite programming,8231
gabor filter,4869
mutual communication,2246
infrared imaging,21665
spectral model,5679
visible spectrum,18281
vector map,2595
linear wave,6783
renormalisation group,2958
charge sensing,715
plasmonic material,1107
retrieval mechanism,1473
emission efficiency,5325
reversal symmetry,13139
condensate field,2196
surface unit cell,374
time domain terahertz,109
spectral distribution,9926
phase velocity,19284
toy problem,568
bipartite graph,11029
thermodynamic function,625
mass formula,2579
breast imaging,10059
supersymmetric extension,2873
infrared absorption spectroscopy,8904
microwave magnetic field,505
state density,9234
isosceles triangle,2093
vacancy defect,2108
grover search algorithm,192
quantum energy,2447
power operation,9534
classical artificial neural network,59
vacuum structure,2893
secrecy capacity,3103
molecular junction,1828
visible portion,1040
helicity dependent,288
band imaging,9058
double excitation,1121
living bacteria,3080
electric utility,11502
flow graph,6778
benchmark simulation,930
quantum storage,593
nonnegative tensor,533
overhauser effect,4241
memory protection,1347
diamagnetic susceptibility,4437
binding kinetics,7224
cavity soliton,363
euclidean space,28745
mesoscale structure,992
point spread function,15016
convergence problem,2486
balanced truncation,1537
photoluminescence signal,648
reservoir dynamic,444
spectral distortion,2691
gauge field theory,1607
polarization insensitive,1915
bending stiffness,10369
riemann zeta,11681
buffer space,2005
gating mechanism,4908
state transformer,2235
planck constant,3324
radiation torque,246
wave channel,1908
isotopic mixture,250
gravitational wave event,3282
euclidean gravity,255
cell structure,20414
phase transition point,2301
cmos camera,2990
macromolecular structure,3038
communication capacity,2871
quantum critical point,7237
pair correlation function,3438
multichannel scattering,415
beam acceleration,1524
free oscillation,1319
boundary operator,815
penalty function,10197
coherent photon,663
planar array,5301
entropy flux,690
structural inversion symmetry,101
raman response,1228
chain rule,2415
elastic light scattering,1693
aqueous suspension,7121
clustering problem,5212
structural anisotropy,2303
coherence theory,2263
phase mask,3850
spatial intensity,1929
transition metal chalcogenides,1268
viscous force,2112
electrical permittivity,851
grating period,2877
fractal aggregate,250
resonance mechanism,1563
topological character,740
spectral detection,1685
group structure,9243
interatomic separation,276
factorization theorem,1818
surface integral equation,1514
time domain reflectometry,5893
orbital coupling,2283
resonance method,4133
quasiconformal mapping,393
rf phase,1878
doped hole,435
saturation spectroscopy,719
cation channel,7392
reciprocity principle,1137
spin lattice relaxation,1295
distributive law,712
tree representation,1976
radial shear,636
routing problem,30270
backward scattering,2490
resonator structure,1716
vacuum state,6281
lattice reduction,1208
similarity analysis,10549
plasma resonance,2364
nand gate,996
dynamical group,348
nonlinear schroedinger,1115
thermal state,8522
beam displacement,804
modular decomposition,749
bilocal field,108
ground state phase,1072
energy detection,4967
elastic anisotropy,4196
phase dispersion,3320
synthetic material,2868
photon annihilation,618
photonic crystal waveguide,2588
antisymmetric tensor,1864
cavity optomechanical system,526
power range,7394
recursive structure,2386
classical finite element,874
rf transmission,1330
molecular chain,4980
divisor problem,623
transmission channel,7023
monte carlo integration,2512
filling fraction,2594
quotient space,2006
binary search tree,1181
group velocity dispersion,3953
homogeneous gas,1312
generic representation,747
binary symmetric channel,1554
distillation method,4705
least squares estimator,3785
energy product,3144
space charge distribution,1503
angular density,258
high lateral resolution,1392
pulse irradiation,1758
variational bayes,2365
transduction efficiency,4567
quantum state tomography,2278
energy harvesting system,3887
liquid phase transition,2266
magnetic bias field,521
retrieval algorithm,10875
newton method,12116
cyclic variation,2576
optical diffraction,4365
earth rotation,3695
magnetic metal,2446
indirect band gap,4176
kernel polynomial,460
unscented kalman filter,10067
solitary pulse,227
lattice vibration,2184
dielectric model,1450
phase jump,1108
group algebra,3453
magnetized electron,797
pi meson,185
momentum space topology,56
debye theory,501
helical edge state,92
hydrodynamic flow,4130
electron momentum,3292
magnetic coil,1075
kinetic energy density,1479
magnetic susceptibility tensor,228
momentum space representation,129
phase margin,4257
polarimetric imaging,1802
multigrid algorithm,1228
ray theory,3110
polynomial representation,1311
lm method,299
high frequency resolution,853
linear partial differential equation,1410
granular structure,2848
entropy production rate,1794
optical memory,3652
entropic principle,123
homogeneous dirichlet,2271
ferrimagnetic chain,137
femtosecond laser irradiation,1995
discrete operator,417
chiral metamaterials,915
linear computation,595
optical coupling,5276
analog electronics,1545
molecular network,5704
fractional power,2769
excitonic transition,878
volume effect,4867
continued fraction algorithm,280
electron effect,758
queueing model,4807
beam interferometer,741
diffusion problem,4482
dnn model,4614
chaos indicator,122
intensity fluctuation,1571
reversible gate,453
covariant formulation,1338
graph isomorphism problem,655
sapphire laser system,650
arithmetic geometry,1172
huffman coding,2807
scalar helmholtz equation,365
polynomial structure,441
xxz spin chain,789
grating spectrometer,3301
coupled network,1311
storage resource,1464
fourier transform spectroscopy,6315
bipartite quantum system,279
conservative interpretation,478
meson mass,2338
electron antineutrino,687
duality invariant,473
space vehicle,5869
semiconductor quantum dot,2812
adiabatic basis,250
intensity detection,685
blind deconvolution,4183
free scalar field theory,171
landau level filling,586
duality map,309
nuclear resonance,3331
error correction capability,1273
radioactive source,3681
quantum random oracle model,176
band filling,2072
fokker planck,433
euclidian distance,2353
intracavity photon number,106
charge density distribution,1919
spectral synthesis,3070
anti de sitter,1205
nonlinear circuit,1954
gauss newton,332
collisional quenching,1303
quadratic behavior,636
chiral light,832
van hove singularity,1981
zeno effect,2132
differential scattering,2243
algebraic surface,935
group speed,489
mesoscopic system,564
rotational inertia,2270
high energy excitation,74
resistive heating,2405
mid infrared region,174
constrained combinatorial optimization problem,91
fibonacci lattice,208
jones matrix formalism,143
fault tolerant system,670
structural disorder,7770
markov state,3005
complex quadratic field,33
blood disease,1778
genuine multipartite entanglement,710
ultrasound field,1325
homotopy perturbation method,4065
relativistic free particle,92
maple program,364
generic expression,305
picometer precision,141
serial femtosecond crystallography,867
invertible matrix,653
energy propagation,1771
liquid crystal cell,1996
magnetic relaxation rate,225
broken chiral symmetry,570
markov kernel,394
magnetic duality,843
lattice resonance,632
low order polynomial,184
electromagnetic pulse,6249
born rule,3004
genetic optimization algorithm,918
nonlinear kernel,634
beam structure,5202
arithmetic circuit,902
classical decision theory,206
vortex soliton,178
spatiotemporal resolution,8914
beat frequency,6681
clock period,1894
macroscopic entanglement,292
surface tension coefficient,701
thermal forcing,1728
atom interferometry,2735
liquid suspension,1732
hexagonal lattice,6838
annealing method,4186
antiferromagnetic interaction,2817
brightness distribution,3348
gravitational acceleration,5229
class support vector machine,3140
coupled spin,3067
trapped field,1021
crf model,1793
slow light effect,356
hofstadter butterfly,566
transition kernel,755
transverse relaxation,5426
pulsed laser irradiation,2218
microwave absorption,13637
quantum spin chain,1164
gabor filter bank,480
gradient field,3214
weak boundary,705
mass fluctuation,386
phase synchrony,1196
active polymer,2215
cone model,1287
lorentzian profile,307
viscous friction,2791
variational free energy,586
field geometry,3483
gas phase chemical reaction,371
micro electro mechanical system,943
variant classification,1607
geometric series,1970
vibronic state,404
differential gain,1757
electron density fluctuation,244
differential cryptanalysis,1542
radiation spectrum,4008
edge spin,286
collective spin wave excitation,6
feshbach projection operator formalism,37
photon production rate,196
beam geometry,2876
molecular organization,5403
low electric field,1830
conductive material,4405
kerker effect,143
poisson distributed,1485
symmetry breaking mechanism,777
ferromagnetic spin chain,260
fringe field,1364
multilayer network,2342
ct state,1311
group invariant,1366
generic mechanism,1010
optically detected magnetic resonance,2262
bijective mapping,501
energy spectral density,363
dipole radiation,2046
molecular method,3772
high resolution spectrograph,983
diffusing atom,65
color dipole,779
action distribution,377
triplet spin state,178
graph clustering,3828
quantum invariant,222
quantum carnot engine,35
neural network ansatz,53
nonlinear mode coupling,436
probabilistic representation,1763
steep gradient,1705
quantum jump,1361
dipole excitation,570
stochastic space,416
calogero model,503
molecular resonance,718
perturbative expansion,4083
hidden momentum,181
group representation theory,672
shannon sampling theorem,616
plane orthogonal,807
raster scanning,1931
pareto distribution,5529
visible light emission,886
generic theory,492
electron wave packet,748
causal flow,619
metamaterial absorber,4191
spherical phase,430
information uncertainty,1736
quasiperiodic oscillation,161
doping range,1347
high energy resolution,2669
magnetic field modulation,1009
atom density,1673
quartic anharmonicity,252
doppler signal,3236
surface spectroscopy,577
holographic projection,1081
localization phase,456
linear recurrence relation,289
incompleteness theorem,1358
squeezed vacuum state,904
double peak,3197
nerve impulse,1948
polarized radiation,4624
microwave mode,258
metamaterial structure,2244
chaotic scattering,899
pareto efficiency,1470
rotational quantum number,896
classical electron theory,65
face reconstruction,1917
cavity magnomechanical system,140
massive parallelism,2412
algebraic graph,1422
interaction anisotropy,283
helical symmetry,857
nanoporous material,751
vector state,498
subgame perfect nash equilibrium,480
raman excitation,1419
provable security,1853
convex optimization program,180
kolmogorov entropy,777
delayed choice,557
nonlinear interference,959
propagation phase,1790
linear algorithm,1982
orientational order parameter,1149
free fermion,1425
massive integration,621
drude peak,376
x ray spectroscopy,225
correlated evolution,1421
matrix perturbation theory,423
berry flux,157
variance formula,391
contextual model,1858
quantum mechanical propagator,54
spin band,431
amplitude correction,632
high resolution microscopy,726
lc circuit,1227
temporal sensitivity,1081
optical dipole trap,1132
levenberg marquardt,1050
cycle free,203
dual number,348
dynamical heterogeneity,876
legendre transform,1369
common secret key,254
floquet analysis,628
x ray emission,254
induced radiation,1719
high power conversion efficiency,3028
rayleigh equation,676
dirac type equation,40
spatial transition,526
quantum measurement theory,698
optoacoustic imaging,1001
electron accelerator,4789
van der waals semiconductor,282
cholesky factorization,1980
fuzzy membership function,2267
secret key rate,1457
mixed polarization,217
equilibrium relation,850
multipartite entanglement,3249
spin algebra,268
bulk magnet,360
left multiplication,270
cluster algorithm,2848
quadratic correlation,394
cryptographic strength,676
ultra high frequency,2665
constrained quadratic programming,1106
hawking radiation,8228
power law spectrum,631
dispersive interaction,411
collective effect,1798
mott scattering,241
cayley tree,1336
spectral asymmetry,471
integrable model,1292
magnetic solid,2723
memory module,2503
nonlinear optical susceptibility,1384
quantum integrable,1253
bell theorem,220
thermal mechanism,900
friedrichs model,271
beam combiner,1256
trajectory simulation,1926
phase shifting interferometry,592
resistive coupling,260
quantum coherence effect,62
magnetic field magnitude,1037
self defocusing,40
recursive least squares algorithm,1118
nonlinear fiber,3551
vector mode,560
diabatic representation,368
image registration algorithm,1506
state parametrization,74
fusion operation,560
machine learning optimization,857
hydrodynamic wave,307
quantum error mitigation,575
salient difference,266
spin connection,1071
second order polynomial,2097
ring polymer,1025
flux enhancement,1364
dirac particle,1169
ergodic behavior,511
layered heterostructures,400
photon momentum,1008
saturation field,1795
radio frequency signal,1218
complex parameter space,130
modular exponentiation,1379
exponential time complexity,451
secret key capacity,213
peano arithmetic,1719
gradient index,3378
nonlinear integrable equation,25
boundary deformation,651
markovian behavior,408
cooperative emission,321
cavity resonance,3155
steady state problem,225
optical metasurfaces,1223
quantum wave function,502
rayleigh range,458
hot reservoir,334
neural sequence,776
bregman divergence,809
backpropagation method,1039
microscopic interaction,658
gouy phase,729
pauli hamiltonian,482
mechanical adaptation,468
quantum signature,776
heat convection,2627
spin selectivity,1542
tunneling energy,309
superconducting ground state,669
molecular sensing,2210
matrix block,952
helicity formalism,485
sm group,720
projection operation,502
clause density,114
transition mode,872
phase winding,1884
gap problem,2163
spectral diffusion,2378
transverse spatial distribution,94
generic map,163
steady state analysis,2807
finite photonic crystal,77
ground state degeneracy,754
spin soliton,49
localization theory,811
variational mean field,90
linear learning,998
ring geometry,1333
resonance measurement,846
bosonic excitation,85
superconducting radio frequency,1187
sparse measurement,469
archimedean spiral,1346
topological surface state,835
mode transformation,1167
synchronously pumped optical parametric oscillator,220
solid state circuit,336
axion coupling,274
newton law,396
chiral magnet,567
classical anharmonic oscillator,25
stream model,1568
binary cluster,479
magnetic field measurement,2104
gibbs paradox,229
